age,4.2,3.1,3.3,4.3,5.4,,,,,,,,,,,,
73,0.01797739,0.00036477,0.70577646,0.7084527,0.00377759,,,,72,<=,Age,<,73,7057765,7084527,26762,0.00377759
74,0.01937787,0.00036078,0.68750303,0.69017213,0.00386728,,,,73,<=,Age,<,74,6875030,6901721,26691,0.00386728
75,0.02072419,0.0003578,0.6678401,0.67048593,0.00394613,,,,74,<=,Age,<,75,6678401,6704859,26458,0.00394613
76,0.021908,0.00035363,0.64684063,0.64944855,0.0040156,,,,75,<=,Age,<,76,6468406,6494486,26079,0.0040156
77,0.0229244,0.00034832,0.62466764,0.62722401,0.00407569,,,,76,<=,Age,<,77,6246676,6272240,25564,0.00407569
78,0.02395593,0.00034146,0.60148895,0.60398122,0.0041264,,,,77,<=,Age,<,78,6014890,6039812,24923,0.0041264
79,0.02585578,0.00033058,0.57729092,0.57970692,0.00416762,,,,78,<=,Age,<,79,5772909,5797069,24160,0.00416762
80,0.02757602,0.00031787,0.55121274,0.55353693,0.00419881,,,,79,<=,Age,<,80,5512127,5535369,23242,0.00419881
81,0.0289139,0.00030394,0.52343494,0.52565312,0.00421985,,,,80,<=,Age,<,81,5234349,5256531,22182,0.00421985
82,0.02986832,0.00028901,0.49433929,0.4964396,0.00423075,,,,81,<=,Age,<,82,4943393,4964396,21003,0.00423075
83,0.03065664,0.00027182,0.46430836,0.46628143,0.0042315,,,,82,<=,Age,<,83,4643084,4662814,19731,0.0042315
84,0.03220743,0.0002457,0.43350949,0.43534695,0.00422068,,,,83,<=,Age,<,84,4335095,4353469,18375,0.00422068
85,0.03327199,0.00021862,0.40119184,0.40287983,0.00418983,,,,84,<=,Age,<,85,4011918,4028798,16880,0.00418983
86,0.03365304,0.00019247,0.36783981,0.36936808,0.00413752,,,,85,<=,Age,<,86,3678398,3693681,15283,0.00413752
87,0.03340024,0.00016765,0.33413235,0.33549572,0.00406375,,,,86,<=,Age,<,87,3341323,3354957,13634,0.00406375
88,0.03273566,0.00014486,0.30069866,0.30189673,0.00396851,,,,87,<=,Age,<,88,3006987,3018967,11981,0.00396851
89,0.03234761,0.00012582,0.26794621,0.2689827,0.00385338,,,,88,<=,Age,<,89,2679462,2689827,10365,0.00385338
90,0.03131574,0.00010809,0.23559543,0.23647703,0.00372805,,,,89,<=,Age,<,90,2355954,2364770,8816,0.00372805
91,0.02961045,0.00009155,0.20428629,0.20502317,0.00359414,,,,90,<=,Age,<,91,2042863,2050232,7369,0.00359414
92,0.02739098,0.00007644,0.17468865,0.1752937,0.00345163,,,,91,<=,Age,<,92,1746887,1752937,6050,0.00345163
93,0.02486765,0.00006247,0.14731375,0.14780157,0.00330053,,,,92,<=,Age,<,93,1473137,1478016,4878,0.00330053
94,0.02235675,0.00004784,0.12246378,0.12284969,0.00314128,,,,93,<=,Age,<,94,1224638,1228497,3859,0.00314128
95,0.01966411,0.00003547,0.10012763,0.10042657,0.00297669,,,,94,<=,Age,<,95,1001276,1004266,2989,0.00297669
96,0.08055883,0.00009582,0.08048497,0.08071154,0.00280723,,,,,,Age,>=,95,804850,807115,2266,0.00280723
